,Keys,Values,Z,S,K
108,"('01800b9e-c682-42e6-bef9-1d68ff1eebfd', 'W1', 0)",0.0,01800b9e-c682-42e6-bef9-1d68ff1eebfd,W1,0
109,"('01800b9e-c682-42e6-bef9-1d68ff1eebfd', 'W1', 1)",1.0,01800b9e-c682-42e6-bef9-1d68ff1eebfd,W1,1
110,"('01800b9e-c682-42e6-bef9-1d68ff1eebfd', 'W1', 2)",0.0,01800b9e-c682-42e6-bef9-1d68ff1eebfd,W1,2
111,"('01800b9e-c682-42e6-bef9-1d68ff1eebfd', 'W1', 3)",0.0,01800b9e-c682-42e6-bef9-1d68ff1eebfd,W1,3
112,"('0180337c-52a7-450f-bc36-c2db307944eb', 'W1', 0)",1.0,0180337c-52a7-450f-bc36-c2db307944eb,W1,0
113,"('0180337c-52a7-450f-bc36-c2db307944eb', 'W1', 1)",0.0,0180337c-52a7-450f-bc36-c2db307944eb,W1,1
114,"('0180337c-52a7-450f-bc36-c2db307944eb', 'W1', 2)",0.0,0180337c-52a7-450f-bc36-c2db307944eb,W1,2
115,"('0180337c-52a7-450f-bc36-c2db307944eb', 'W1', 3)",0.0,0180337c-52a7-450f-bc36-c2db307944eb,W1,3
116,"('0188ebe3-8d63-43ac-89e3-74999d3e5050', 'W1', 0)",0.0,0188ebe3-8d63-43ac-89e3-74999d3e5050,W1,0
117,"('0188ebe3-8d63-43ac-89e3-74999d3e5050', 'W1', 1)",0.0,0188ebe3-8d63-43ac-89e3-74999d3e5050,W1,1
118,"('0188ebe3-8d63-43ac-89e3-74999d3e5050', 'W1', 2)",0.0,0188ebe3-8d63-43ac-89e3-74999d3e5050,W1,2
119,"('0188ebe3-8d63-43ac-89e3-74999d3e5050', 'W1', 3)",1.0,0188ebe3-8d63-43ac-89e3-74999d3e5050,W1,3
120,"('018a5270-1dc4-4a32-abe2-ce907f6d94ab', 'RC', 0)",1.0,018a5270-1dc4-4a32-abe2-ce907f6d94ab,RC,0
121,"('018a5270-1dc4-4a32-abe2-ce907f6d94ab', 'RC', 1)",0.0,018a5270-1dc4-4a32-abe2-ce907f6d94ab,RC,1
122,"('018a5270-1dc4-4a32-abe2-ce907f6d94ab', 'RC', 2)",0.0,018a5270-1dc4-4a32-abe2-ce907f6d94ab,RC,2
123,"('018a5270-1dc4-4a32-abe2-ce907f6d94ab', 'RC', 3)",0.0,018a5270-1dc4-4a32-abe2-ce907f6d94ab,RC,3
124,"('0199389e-f518-4658-9013-84efc2963dac', 'RC', 0)",0.0,0199389e-f518-4658-9013-84efc2963dac,RC,0
125,"('0199389e-f518-4658-9013-84efc2963dac', 'RC', 1)",1.0,0199389e-f518-4658-9013-84efc2963dac,RC,1
126,"('0199389e-f518-4658-9013-84efc2963dac', 'RC', 2)",0.0,0199389e-f518-4658-9013-84efc2963dac,RC,2
127,"('0199389e-f518-4658-9013-84efc2963dac', 'RC', 3)",0.0,0199389e-f518-4658-9013-84efc2963dac,RC,3
128,"('01a2f7bf-7a0b-4b49-97d1-a1e9c56d2788', 'W1', 0)",1.0,01a2f7bf-7a0b-4b49-97d1-a1e9c56d2788,W1,0
129,"('01a2f7bf-7a0b-4b49-97d1-a1e9c56d2788', 'W1', 1)",0.0,01a2f7bf-7a0b-4b49-97d1-a1e9c56d2788,W1,1
130,"('01a2f7bf-7a0b-4b49-97d1-a1e9c56d2788', 'W1', 2)",0.0,01a2f7bf-7a0b-4b49-97d1-a1e9c56d2788,W1,2
131,"('01a2f7bf-7a0b-4b49-97d1-a1e9c56d2788', 'W1', 3)",0.0,01a2f7bf-7a0b-4b49-97d1-a1e9c56d2788,W1,3
132,"('01bd8f8a-3dc6-4391-ad74-07f24c81f149', 'W2', 0)",0.0,01bd8f8a-3dc6-4391-ad74-07f24c81f149,W2,0
133,"('01bd8f8a-3dc6-4391-ad74-07f24c81f149', 'W2', 1)",1.0,01bd8f8a-3dc6-4391-ad74-07f24c81f149,W2,1
