,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,truedislocationcount,K',Sc
275,00ffb041-2c13-40a3-a11e-60d7a5ddf6e0,W1,0,107645.0,94523.82759187698,794.3267777231265,1.0,0.0,0.8361518819104756,0.0,0.0,3,139938.5
288,01008fe9-e56d-4a84-909b-93a5bbe9e523,RC,0,122300.0,58934.35078243837,370.5876672897139,0.0,0.0,0.0,0.0,0.0,0,0.0
289,01008fe9-e56d-4a84-909b-93a5bbe9e523,RC,0,122300.0,58934.35078243837,370.5876672897139,0.0,0.0,0.0,0.0,0.0,1,36690.0
290,01008fe9-e56d-4a84-909b-93a5bbe9e523,RC,0,122300.0,58934.35078243837,370.5876672897139,0.0,0.0,0.0,0.0,0.0,2,122300.0
291,01008fe9-e56d-4a84-909b-93a5bbe9e523,RC,0,122300.0,58934.35078243837,370.5876672897139,0.0,0.0,0.0,0.0,0.0,3,158990.0
304,010eb54b-4602-44ab-a5ca-48502cb2387b,W1,0,110462.0,38979.5899024071,283.3983750634618,0.0,4.0,0.4853648799035679,1.9414595196142717,0.0,0,0.0
305,010eb54b-4602-44ab-a5ca-48502cb2387b,W1,0,110462.0,38979.5899024071,283.3983750634618,0.0,4.0,0.4853648799035679,1.9414595196142717,0.0,1,33138.6
306,010eb54b-4602-44ab-a5ca-48502cb2387b,W1,0,110462.0,38979.5899024071,283.3983750634618,0.0,4.0,0.4853648799035679,1.9414595196142717,0.0,2,110462.0
307,010eb54b-4602-44ab-a5ca-48502cb2387b,W1,0,110462.0,38979.5899024071,283.3983750634618,0.0,4.0,0.4853648799035679,1.9414595196142717,0.0,3,143600.6
320,012722f6-6103-46cf-9f85-589399695d8e,W1,0,183423.0,164487.28684241028,812.6838182528154,1.0,1.0,0.7620258510146944,0.7620258510146944,1.0,0,0.0
321,012722f6-6103-46cf-9f85-589399695d8e,W1,0,183423.0,164487.28684241028,812.6838182528154,1.0,1.0,0.7620258510146944,0.7620258510146944,1.0,1,55026.9
322,012722f6-6103-46cf-9f85-589399695d8e,W1,0,183423.0,164487.28684241028,812.6838182528154,1.0,1.0,0.7620258510146944,0.7620258510146944,1.0,2,183423.0
323,012722f6-6103-46cf-9f85-589399695d8e,W1,0,183423.0,164487.28684241028,812.6838182528154,1.0,1.0,0.7620258510146944,0.7620258510146944,1.0,3,238449.9
336,013ace75-ffbf-4ced-960d-ca09663d6e12,W2,0,82781.0,27532.830599503595,261.6456047322556,0.0,2.0,0.5771851206098065,1.154370241219613,0.0,0,0.0
337,013ace75-ffbf-4ced-960d-ca09663d6e12,W2,0,82781.0,27532.830599503595,261.6456047322556,0.0,2.0,0.5771851206098065,1.154370241219613,0.0,1,24834.3
338,013ace75-ffbf-4ced-960d-ca09663d6e12,W2,0,82781.0,27532.830599503595,261.6456047322556,0.0,2.0,0.5771851206098065,1.154370241219613,0.0,2,82781.0
339,013ace75-ffbf-4ced-960d-ca09663d6e12,W2,0,82781.0,27532.830599503595,261.6456047322556,0.0,2.0,0.5771851206098065,1.154370241219613,0.0,3,107615.3
352,01536663-2db4-4ff8-a131-fa0f1fc941ca,W2,0,221176.0,93828.6542253573,352.7358730769303,0.0,1.0,0.5153663779981382,0.5153663779981382,0.0,0,0.0
353,01536663-2db4-4ff8-a131-fa0f1fc941ca,W2,0,221176.0,93828.6542253573,352.7358730769303,0.0,1.0,0.5153663779981382,0.5153663779981382,0.0,1,66352.8
354,01536663-2db4-4ff8-a131-fa0f1fc941ca,W2,0,221176.0,93828.6542253573,352.7358730769303,0.0,1.0,0.5153663779981382,0.5153663779981382,0.0,2,221176.0
355,01536663-2db4-4ff8-a131-fa0f1fc941ca,W2,0,221176.0,93828.6542253573,352.7358730769303,0.0,1.0,0.5153663779981382,0.5153663779981382,0.0,3,287528.8
368,0153ab0b-1665-4d4e-8dac-0fb457fc8d90,W1,0,34082.0,7368.620291971068,146.48322281384918,0.0,2.0,0.4747115374668189,0.9494230749336378,0.0,0,0.0
369,0153ab0b-1665-4d4e-8dac-0fb457fc8d90,W1,0,34082.0,7368.620291971068,146.48322281384918,0.0,2.0,0.4747115374668189,0.9494230749336378,0.0,1,10224.6
370,0153ab0b-1665-4d4e-8dac-0fb457fc8d90,W1,0,34082.0,7368.620291971068,146.48322281384918,0.0,2.0,0.4747115374668189,0.9494230749336378,0.0,2,34082.0
371,0153ab0b-1665-4d4e-8dac-0fb457fc8d90,W1,0,34082.0,7368.620291971068,146.48322281384918,0.0,2.0,0.4747115374668189,0.9494230749336378,0.0,3,44306.6
384,01544e47-9564-449e-8f9e-a62b2c140c2d,W1,0,31293.0,28090.52483994751,813.5661914016993,1.0,2.0,0.8599635966393213,1.7199271932786426,2.0,0,0.0
385,01544e47-9564-449e-8f9e-a62b2c140c2d,W1,0,31293.0,28090.52483994751,813.5661914016993,1.0,2.0,0.8599635966393213,1.7199271932786426,2.0,1,9387.9
386,01544e47-9564-449e-8f9e-a62b2c140c2d,W1,0,31293.0,28090.52483994751,813.5661914016993,1.0,2.0,0.8599635966393213,1.7199271932786426,2.0,2,31293.0
387,01544e47-9564-449e-8f9e-a62b2c140c2d,W1,0,31293.0,28090.52483994751,813.5661914016993,1.0,2.0,0.8599635966393213,1.7199271932786426,2.0,3,40680.9
400,01569caf-9daf-4640-aa20-6c0e55a35c77,W1,0,100007.0,87557.228587426,791.7726268678998,1.0,1.0,0.8192243426672889,0.8192243426672889,1.0,0,0.0
401,01569caf-9daf-4640-aa20-6c0e55a35c77,W1,0,100007.0,87557.228587426,791.7726268678998,1.0,1.0,0.8192243426672889,0.8192243426672889,1.0,1,30002.1
402,01569caf-9daf-4640-aa20-6c0e55a35c77,W1,0,100007.0,87557.228587426,791.7726268678998,1.0,1.0,0.8192243426672889,0.8192243426672889,1.0,2,100007.0
403,01569caf-9daf-4640-aa20-6c0e55a35c77,W1,0,100007.0,87557.228587426,791.7726268678998,1.0,1.0,0.8192243426672889,0.8192243426672889,1.0,3,130009.1
416,01591c2f-7af2-48a1-825c-15a24cb9d943,RC,0,125161.0,30917.30718705776,170.68836469340005,0.0,2.0,0.5168451854957267,1.0336903709914533,0.0,0,0.0
417,01591c2f-7af2-48a1-825c-15a24cb9d943,RC,0,125161.0,30917.30718705776,170.68836469340005,0.0,2.0,0.5168451854957267,1.0336903709914533,0.0,1,37548.299999999996
418,01591c2f-7af2-48a1-825c-15a24cb9d943,RC,0,125161.0,30917.30718705776,170.68836469340005,0.0,2.0,0.5168451854957267,1.0336903709914533,0.0,2,125161.0
419,01591c2f-7af2-48a1-825c-15a24cb9d943,RC,0,125161.0,30917.30718705776,170.68836469340005,0.0,2.0,0.5168451854957267,1.0336903709914533,0.0,3,162709.30000000002
432,01800b9e-c682-42e6-bef9-1d68ff1eebfd,W1,0,83731.0,23542.185279337795,203.8523487672188,1.0,2.0,0.5562060872755797,1.1124121745511595,2.0,0,0.0
433,01800b9e-c682-42e6-bef9-1d68ff1eebfd,W1,0,83731.0,23542.185279337795,203.8523487672188,1.0,2.0,0.5562060872755797,1.1124121745511595,2.0,1,25119.3
434,01800b9e-c682-42e6-bef9-1d68ff1eebfd,W1,0,83731.0,23542.185279337795,203.8523487672188,1.0,2.0,0.5562060872755797,1.1124121745511595,2.0,2,83731.0
435,01800b9e-c682-42e6-bef9-1d68ff1eebfd,W1,0,83731.0,23542.185279337795,203.8523487672188,1.0,2.0,0.5562060872755797,1.1124121745511595,2.0,3,108850.3
448,0180337c-52a7-450f-bc36-c2db307944eb,W1,0,149803.0,33154.865098464805,151.21423310515016,1.0,2.0,0.4904705463589505,0.980941092717901,2.0,0,0.0
449,0180337c-52a7-450f-bc36-c2db307944eb,W1,0,149803.0,33154.865098464805,151.21423310515016,1.0,2.0,0.4904705463589505,0.980941092717901,2.0,1,44940.9
450,0180337c-52a7-450f-bc36-c2db307944eb,W1,0,149803.0,33154.865098464805,151.21423310515016,1.0,2.0,0.4904705463589505,0.980941092717901,2.0,2,149803.0
451,0180337c-52a7-450f-bc36-c2db307944eb,W1,0,149803.0,33154.865098464805,151.21423310515016,1.0,2.0,0.4904705463589505,0.980941092717901,2.0,3,194743.9
464,0188ebe3-8d63-43ac-89e3-74999d3e5050,W1,0,50111.0,44802.02929824436,810.0184837588974,1.0,3.0,0.8565297734401789,2.569589320320537,3.0,0,0.0
