guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair
35c6ec7a-8b87-46a8-8079-0a00ba594250,0.6177589883,0.1641907699,0.0448178986,0.3822410117,0.4535682183999999,0.1193728713,0.0448178986,Earthquake+Tsunami,0.0,1998,W1,0.0,58.157900593883504
80f64410-23b2-4c0a-bcaf-3015e09bd4b7,0.5395498009,0.1562452902,0.0258870281,0.4604501990999999,0.3833045107,0.1303582621,0.0258870281,Earthquake+Tsunami,0.0,1992,W1,0.0,50.309598860624945
f636d208-d2f5-460e-9912-04e7660b939d,0.6198920526,0.225162643,0.0541313551,0.3801079474,0.3947294096,0.1710312879,0.0541313551,Earthquake+Tsunami,0.0,1972,W1,0.0,70.49297142081087
373b896e-1215-4d64-aea7-98000767afd3,0.603691793,0.1968820293,0.0372894607,0.396308207,0.4068097637,0.1595925686,0.0372894607,Earthquake+Tsunami,0.0,1983,W1,0.0,61.7047357370527
3ec2c347-9d6f-443d-9c9e-e8e8a37bf776,0.7279969864,0.3496380541,0.0962787971,0.2720030136,0.3783589323,0.253359257,0.0962787971,Earthquake+Tsunami,522744.0,1954,RC,149506.95773395497,103.89135833778326
039de54b-c320-4fcb-8296-57229e3b09d6,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,11249.0,1994,W1,2014.6738792556987,58.87389277569678
4c7adca9-eac7-4038-b921-86006d5efb20,0.5887785174,0.1867835577,0.0342907415,0.4112214826,0.4019949597,0.1524928162,0.0342907415,Earthquake+Tsunami,5281.0,1994,W1,945.8167620543466,58.87389277569678
3a7c0aec-8789-4a80-9632-41c447f1343b,0.5395498009,0.1562452902,0.0258870281,0.4604501990999999,0.3833045107,0.1303582621,0.0258870281,Earthquake+Tsunami,0.0,1993,W1,0.0,50.309598860624945
2cf0036e-f2e2-43ad-abcd-eaa368d1a15f,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,46930.0,0,W1,11246.598347587982,84.28200387515822
8a815e65-7d44-48d8-9491-d6b20e414b81,0.4549553311,0.0635270671,0.0112538136,0.5450446688999999,0.391428264,0.0522732535,0.0112538136,Earthquake+Tsunami,0.0,2008,W1,0.0,28.713605157153467
60c062dc-a24f-4e27-adee-760f833bb90c,0.5450463051,0.1235260348,0.0320489943,0.4549536949,0.4215202702999999,0.0914770405,0.0320489943,Earthquake+Tsunami,0.0,2006,W1,0.0,46.190362426589374
141070f9-097f-48de-98fa-9d2ffe3cc067,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1975,W1,0.0,84.28200387515822
bcc34a15-fc71-4710-be94-a1bd1e6f6869,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1974,W1,0.0,84.28200387515822
91378c34-8af5-4f6b-b937-84b2e9bb3b51,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1964,W1,0.0,84.28200387515822
4987ff2f-c0ee-498d-9976-f52a27b3953c,0.6009149982,0.153915467,0.0414935775,0.3990850017999999,0.4469995312,0.1124218895,0.0414935775,Earthquake+Tsunami,0.0,1995,W1,0.0,55.16550262541375
22b7c1b8-4b85-462c-8f5a-60653cf7852c,0.5395498009,0.1562452902,0.0258870281,0.4604501990999999,0.3833045107,0.1303582621,0.0258870281,Earthquake+Tsunami,0.0,1992,W1,0.0,50.309598860624945
5d657458-e769-4e85-aa9c-cd2124621344,0.6198920526,0.225162643,0.0541313551,0.3801079474,0.3947294096,0.1710312879,0.0541313551,Earthquake+Tsunami,0.0,1965,W1,0.0,70.49297142081087
5765fa56-462d-4e02-bbf2-f2927e41c758,0.6764895142,0.2725829018,0.0728644947,0.3235104857999999,0.4039066124,0.1997184071,0.0728644947,Earthquake+Tsunami,0.0,1970,W1,0.0,84.28200387515822
