guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair,dislocated
2262169f-8798-48d7-a8d7-9efaa5c855f8,0.9769601417,0.7455482677,0.3837539963,0.0230398582999999,0.2314118739999999,0.3617942714,0.3837539963,Earthquake+Tsunami,7260.0,2007,W1,4213.33726619289,476.4266550712868,0
bc950354-d500-4419-a94c-076f8a40d7ab,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,226333.0,1923,W1,140416.20656958668,520.4933273591503,0
5b8fef41-677a-4834-9385-c4d6447209f8,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1992,W1,0.0,463.5325739152804,0
9d6bfe3c-162e-4787-b44e-752047978163,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,91170.0,1893,W1,56160.43046363596,516.0862969155197,1
4a6e0e6e-7216-4a33-b676-31df915546a0,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1988,W1,0.0,463.5325739152804,1
9f2348e7-c47b-4a38-a66e-e96c15713f62,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1992,W1,0.0,463.5325739152804,1
c78d3787-58af-43d1-a3de-dfa49028ee37,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,17193.0,1926,W1,10590.833398719898,516.0862969155197,1
62d9e096-dea7-40ab-9c70-5102aea07414,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1991,W1,0.0,463.5325739152804,0
620e9442-8f5c-4acb-931f-6c73cf2850e4,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,0.0,1968,W1,0.0,516.0862969155197,1
bf596f12-6351-4ad8-b403-5b39e7d4acf6,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1962,W1,0.0,520.4933273591503,0
6a721f32-7e1f-4e3f-bc62-819f389967c4,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1974,W1,0.0,520.4933273591503,0
2fa5284b-6148-40bd-8982-bf7eb678a9b0,0.9769601417,0.7455482677,0.3837539963,0.0230398582999999,0.2314118739999999,0.3617942714,0.3837539963,Earthquake+Tsunami,0.0,1998,W1,0.0,476.4266550712868,0
526ade78-5a31-40c2-ab20-87d07edb7754,0.9758340953,0.739240189,0.3773838511,0.0241659047,0.2365939063,0.3618563379,0.3773838511,Earthquake+Tsunami,0.0,2006,W1,0.0,471.607742245253,1
fb5bbb64-4b04-4716-bdb2-8e9d20df05a4,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,0.0,1970,W1,0.0,516.0862969155197,1
2d86b2cb-03d0-4466-babc-75581324cd6c,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1992,W1,0.0,463.5325739152804,0
b0416b40-ee56-421d-87b3-5418870230ac,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1994,W1,0.0,463.5325739152804,0
87a2ce2e-ba7e-469f-95a4-b63ca5676ead,0.9105511723,0.649461007,0.2781099206,0.0894488276999999,0.2610901653,0.3713510864,0.2781099206,Earthquake+Tsunami,244593.0,1948,RC,121185.61871985126,396.1891166347002,0
b0857d4b-16cb-4e87-a40e-b7981e3b6734,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,0.0,1973,W1,0.0,516.0862969155197,0
b91089f5-b4dc-4c65-8249-d8321e5756fa,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1989,W1,0.0,463.5325739152804,1
8f2aa279-a3fe-4569-acc3-d942e42eb353,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,0.0,1970,W1,0.0,516.0862969155197,1
f214251f-0268-4c0b-b1ff-849e69ebf3fa,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1972,W1,0.0,520.4933273591503,0
38f5cc7d-f4e1-439a-99cb-f7d21193872c,0.9702511904,0.6472178876,0.2697563226,0.0297488096,0.3230333028,0.377461565,0.2697563226,Earthquake+Tsunami,388.0,2009,W1,194.234141343936,396.0439829547124,0
b6d5624b-b936-45da-ac36-74502ca94370,0.9156145895,0.6617688568,0.2886106079,0.0843854105,0.2538457327,0.3731582489,0.2886106079,Earthquake+Tsunami,0.0,0,RC,0.0,404.998071848744,0
6d2d8fe7-8c84-497f-b349-837a9594d94f,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1973,W1,0.0,520.4933273591503,0
e9edf67a-2795-4954-b5da-1f21017ac747,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,0.0,1973,W1,0.0,516.0862969155197,1
8a89e8b0-0833-4c74-b5e2-f804ff6374ba,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1994,W1,0.0,463.5325739152804,0
c840abb8-34e2-433a-b5a9-ab6236d6ed6b,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1973,W1,0.0,520.4933273591503,0
b0b17978-2ff6-48a1-9588-dab4af290db2,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1962,W1,0.0,520.4933273591503,0
116feed3-7928-4864-8d9f-a84f0ff849a2,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1992,W1,0.0,463.5325739152804,1
1fc64c40-c2cd-486f-bb22-3b2a0d093182,0.9769601417,0.7455482677,0.3837539963,0.0230398582999999,0.2314118739999999,0.3617942714,0.3837539963,Earthquake+Tsunami,0.0,1996,W1,0.0,476.4266550712868,1
e02f45c9-5ffb-48d1-98c4-891ea00d3df5,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1971,W1,0.0,520.4933273591503,0
5010a2d7-6fed-4893-b2c2-072675da54aa,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1976,W1,0.0,520.4933273591503,1
f34d3d50-7ec4-4311-9c63-daaf51889bf7,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1992,W1,0.0,463.5325739152804,0
a3fad8a7-faec-4c17-8d90-962ffd803026,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1979,W1,0.0,463.5325739152804,1
2f64c256-5760-4ff6-8be4-8f5b72ca84e3,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,0.0,1967,W1,0.0,516.0862969155197,1
4fa0a76a-7755-4a93-91e7-b2dde4055533,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1974,W1,0.0,520.4933273591503,0
37532fb5-5107-478b-ab2c-158eb001c68b,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,0.0,1975,W1,0.0,516.0862969155197,1
0ed927c4-b960-4b09-9cac-435a407805a4,0.9769601417,0.7455482677,0.3837539963,0.0230398582999999,0.2314118739999999,0.3617942714,0.3837539963,Earthquake+Tsunami,0.0,1998,W1,0.0,476.4266550712868,0
d25c7bba-5ce1-4837-b28e-f0b0d5c1cbbc,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,0.0,1960,W1,0.0,516.0862969155197,0
a8ff7f86-8c45-4643-a745-dc1892fe01ca,0.9584229413,0.7120242428,0.3714049046,0.0415770586999999,0.2463986985,0.3406193382,0.3714049046,Earthquake+Tsunami,0.0,1979,W1,0.0,458.7429171906272,1
0b187888-88f9-40ee-8475-3cf9bac0232d,0.9769601417,0.7455482677,0.3837539963,0.0230398582999999,0.2314118739999999,0.3617942714,0.3837539963,Earthquake+Tsunami,0.0,1995,W1,0.0,476.4266550712868,1
0f644ce7-84a8-4846-a678-34edca42872b,0.9769601417,0.7455482677,0.3837539963,0.0230398582999999,0.2314118739999999,0.3617942714,0.3837539963,Earthquake+Tsunami,0.0,1995,W1,0.0,476.4266550712868,0
689226e6-13d3-4d4f-a8c1-4ff51896c850,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1992,W1,0.0,463.5325739152804,1
199ee2fc-b2e3-4b70-aff4-079884f6c874,0.9769601417,0.7455482677,0.3837539963,0.0230398582999999,0.2314118739999999,0.3617942714,0.3837539963,Earthquake+Tsunami,0.0,1997,W1,0.0,476.4266550712868,1
647b8845-9323-4f76-88d5-e83ca0a98dd2,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1993,W1,0.0,463.5325739152804,1
6764738c-813b-4fc9-a712-bc6f0a50c92a,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1992,W1,0.0,463.5325739152804,0
4e5750f1-f06e-4d35-9d13-722badb90b8c,0.9599768934,0.7178136655,0.378064822,0.0400231065999999,0.2421632279,0.3397488435,0.378064822,Earthquake+Tsunami,0.0,1992,W1,0.0,463.5325739152804,1
efcdb2ba-67c8-4898-bb9e-52a1fe56b425,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1972,W1,0.0,520.4933273591503,1
e3aa0f65-ec6e-43ba-bec1-3f6b415d7686,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1972,W1,0.0,520.4933273591503,1
4ce3c080-1089-4d1a-b695-41ea767f9f5d,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,0.0,1972,W1,0.0,520.4933273591503,1
74a18755-ed4d-4006-a325-1dcf482e7afe,0.865858798,0.5026264777,0.1458189781,0.134141202,0.3632323202999999,0.3568074996,0.1458189781,Earthquake+Tsunami,15832.0,1995,RC,6086.658640941949,289.29435690855246,0
d942afd0-04bf-408c-8276-ce224e7fc30f,0.8142276285,0.385250011,0.1209398745,0.1857723715,0.4289776174999999,0.2643101365,0.1209398745,Earthquake+Tsunami,202245.0,1969,W2,65049.44567779028,235.76275611438257,0
860d3b55-f854-4103-b928-df889b665613,0.9584229413,0.7120242428,0.3714049046,0.0415770586999999,0.2463986985,0.3406193382,0.3714049046,Earthquake+Tsunami,153346.0,1987,W1,85874.48589564701,458.7429171906272,1
ce1af8dc-03bf-401e-a878-ca6a83821abf,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,46930.0,1940,W1,29115.208892696613,520.4933273591503,1
b5407272-eb12-4b38-bb5a-8cdc9bc2bf6b,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,17193.0,1926,W1,10590.833398719898,516.0862969155197,0
65b68b70-c386-4dfd-bd72-56f04c7e3dbb,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,17193.0,1926,W1,10590.833398719898,516.0862969155197,0
fa7ef02a-2375-4c98-bce2-8d8e28ac9668,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,51579.0,1926,W1,31772.500196159694,516.0862969155197,1
06af48da-bacd-448d-83cc-17981a52defe,0.9675713992,0.7755848229,0.4682994558,0.0324286007999999,0.1919865763,0.3072853671,0.4682994558,Earthquake+Tsunami,41371.0,1920,W1,25666.424613248488,520.4933273591503,0
42276433-8452-4d71-9e1d-8cb6ee84d0b7,0.9105511723,0.649461007,0.2781099206,0.0894488276999999,0.2610901653,0.3713510864,0.2781099206,Earthquake+Tsunami,0.0,0,RC,0.0,396.1891166347002,0
046e76c1-258c-409c-a366-7a23cb88d93b,0.8142276285,0.385250011,0.1209398745,0.1857723715,0.4289776174999999,0.2643101365,0.1209398745,Earthquake+Tsunami,3996.0,1961,W2,1285.26087136122,235.76275611438257,0
05459961-b9d3-46c6-a084-6655f1795193,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,0.0,0,W1,0.0,516.0862969155197,1
8fbb1f23-ddb0-42d0-b11b-838d9f2691cd,0.7505677538,0.3041686266,0.0665623368,0.2494322462,0.4463991271999999,0.2376062897999999,0.0665623368,Earthquake+Tsunami,479100.0,2003,W2,125058.79672974868,181.7250690732332,0
26c7457d-e252-40a7-a5db-5091cb9a6fe8,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,31972.0,1940,W1,19694.650463785994,516.0862969155197,1
d0bbb5b2-8465-47f0-9ea4-51d7493e4c99,0.9663509114,0.7706873591,0.4617790876,0.0336490886,0.1956635523,0.3089082714999999,0.4617790876,Earthquake+Tsunami,29214.0,1937,W1,17995.7312226024,516.0862969155197,1
fa38d03a-f90a-41a4-9442-cc5cd3cb054e,0.8750425373,0.5611094499,0.2090069844,0.1249574626999999,0.3139330874,0.3521024655,0.2090069844,Earthquake+Tsunami,1074380.0,1984,RC,463108.3380080483,335.57101385402564,0
c918756f-c28e-47ea-9986-7078ca7a6b92,0.9769601417,0.7455482677,0.3837539963,0.0230398582999999,0.2314118739999999,0.3617942714,0.3837539963,Earthquake+Tsunami,0.0,1998,W1,0.0,476.4266550712868,0
0e5ce105-a003-4795-af35-94e43f12a028,0.9769601417,0.7455482677,0.3837539963,0.0230398582999999,0.2314118739999999,0.3617942714,0.3837539963,Earthquake+Tsunami,0.0,1999,W1,0.0,476.4266550712868,1
