guid,robustness_bldg,robustness_elec,robustness_trns,robustness_wter,robustness,rapidity_bldg,rapidity_elec,rapidity_trns,rapidity_wter,rapidity,resilience_bldg,resilience_elec,resilience_trns,resilience_wter,resilience
0b4073d3-7d7e-439d-b9ef-1373291f37cc,0.9599999999999992,1.0,1.0,1.0,0.9599999999999991,0.9913039062466197,0.24315956993526336,0.8691008725911519,0.47784540005880266,0.10010500225406331,0.9516517499967542,0.24315956993526341,0.8691008725911517,0.47784540005880255,0.09610080216390068
bef20397-d546-475e-8dfd-b58a422019d8,0.9529999999999992,1.0,1.0,1.0,0.9529999999999992,0.9914968940975067,0.22101500492200432,0.8691008725888784,0.2525269735168626,0.048094019734774264,0.9448965400749231,0.2210150049220045,0.8691008725888782,0.2525269735168627,0.04583360080723997
f5e2c264-da77-4971-99d8-0c3d7562b986,0.6219999999999997,1.0,1.0,1.0,0.6219999999999998,0.9244946885664238,0.7546368767642188,0.8668432007175099,0.47784540005976306,0.2889817396070227,0.5750356962883153,0.7546368767642188,0.8668432007175098,0.477845400059763,0.17974664203556806
d8ffb229-86e0-4907-97a5-84eb9ac248e6,0.0011000000000013295,1.0,1.0,1.0,0.0011000000000013295,0.8662716388954644,0.1822134585873253,0.8691065596559489,0.3662904398970749,0.05024966367154224,0.000952898802786415,0.1822134585873254,0.8691065596559486,0.366290439897075,5.5274630038986904e-05
0bf34a44-f8fe-41b4-a241-7c71ed06aa20,0.8639999999999994,1.0,1.0,1.0,0.8639999999999993,0.9847978960175817,0.561365357997796,0.8691008725902815,0.4778454000586073,0.22958859820634953,0.8508653821591899,0.5613653579977957,0.8691008725902812,0.47784540005860743,0.19836454885028584
340d43a0-35ff-4738-b11b-849434a662a4,0.9359999999999994,1.0,1.0,1.0,0.9359999999999994,0.991652414182234,0.24315956993390453,0.8691008725911237,0.47784540005981097,0.10014019568678557,0.9281866596745705,0.24315956993390464,0.8691008725911235,0.477845400059811,0.09373122316283125
defedc4a-ea47-45c6-87d5-4c374f6920e5,0.8669999999999993,1.0,1.0,1.0,0.8669999999999993,0.9815017696834354,0.31205422200382793,0.8682153877075901,0.2525269735173069,0.06715160579340952,0.8509620343155381,0.31205422200382804,0.86821538770759,0.252526973517307,0.05822044222288604
837b8691-a385-4519-a7bc-6eed26afc2a7,0.2940000000000004,1.0,1.0,1.0,0.2940000000000005,0.8932113537975377,0.390854044824671,0.8684709345035726,0.2525269735170246,0.07656528574652767,0.26260413801647675,0.3908540448246711,0.8684709345035723,0.2525269735170247,0.02251019400947936
3ae2a39b-f04a-4654-8d64-672205c5007d,0.2860000000000005,1.0,1.0,1.0,0.2860000000000004,0.8777630891362087,0.3908540448222328,0.8684709345051216,0.25252697351627135,0.07524107418836318,0.2510402434929564,0.39085404482223285,0.8684709345051214,0.2525269735162715,0.021518947217872078
ed2894f9-e44b-4ff0-acfb-b05b1367702c,0.2920000000000004,1.0,1.0,1.0,0.29200000000000054,0.8939848953140013,0.39085404482074076,0.8684709345048073,0.2525269735165457,0.07663159303905402,0.26104358943168904,0.39085404482074076,0.8684709345048072,0.25252697351654585,0.022376425167403964
b2873126-ea18-4a3b-99d8-ad908f80ef8d,0.2820000000000004,1.0,1.0,1.0,0.2820000000000006,0.8990211850832011,0.39085404482206,0.8684709345058418,0.25252697351639736,0.07706329933556656,0.25352397419346323,0.39085404482205993,0.8684709345058416,0.25252697351639747,0.021731850412629983
afa1ef2f-7bbe-41ae-95b4-3c5873a58f99,0.643,1.0,1.0,1.0,0.643,0.9521019397708581,0.7546368767646006,0.8668432007181559,0.47784540005952675,0.2976113094441461,0.6122015472726617,0.7546368767646005,0.8668432007181556,0.4778454000595267,0.19136407197258573
113a852a-6876-4931-81f0-5158f0c70d14,0.8639999999999994,1.0,1.0,1.0,0.8639999999999993,0.978022609296213,0.3120542220033588,0.8682153877063845,0.25252697351560055,0.06691357137038045,0.8450115344319276,0.3120542220033588,0.8682153877063843,0.2525269735156007,0.05781332566400879
9d304a7c-e3f2-491d-ab32-0a8ec91a8e30,0.22500000000000078,1.0,1.0,1.0,0.2250000000000007,0.8827269154479188,0.4092958103710393,0.8691081399206699,0.25252697351672687,0.07929490067081701,0.19861355597578256,0.4092958103710393,0.8691081399206697,0.25252697351672704,0.017841352650934054
4ac0a784-57a8-4437-a8ec-c0fefb85012e,0.8749999999999994,1.0,1.0,1.0,0.8749999999999994,0.9782436369732672,0.3120542220039183,0.8682153877066794,0.2525269735163239,0.06692869346615815,0.8559631823516083,0.31205422200391847,0.868215387706679,0.252526973516324,0.05856260678288837
