guid,LS_0,LS_1,LS_2,DS_0,DS_1,DS_2,DS_3,hazard,rmv,year_built,struct_typ,econ_loss,repair,dislocated,numprec,prdis
ffedfa6e-8b4d-4135-bda2-26c35243dc3d,0.9983448869674134,0.9962831242554032,0.9956019481510324,0.0016551130325865,0.00206176271201,0.0006811761043707,0.9956019481510324,Earthquake+Tsunami,68480.0,1912,W2,61409.04617007216,812.6976505923806,0.0,1.0,0.7714079397513144
7c5789e4-9f1a-4982-9979-bb163aca9bdb,0.9392594967,0.6303106856,0.2568026944,0.0607405033,0.3089488110999999,0.3735079912,0.2568026944,Earthquake+Tsunami,143292.0,1973,RC,69459.73497085125,382.9227215732425,,,
59a1b6b2-3141-4110-afef-140e3b4cf258,0.9392594967,0.6303106856,0.2568026944,0.0607405033,0.3089488110999999,0.3735079912,0.2568026944,Earthquake+Tsunami,102328.0,1973,RC,49602.7395813951,382.9227215732425,,,
674da81e-aa76-4108-86f8-755b7ac38041,0.9392594967,0.6303106856,0.2568026944,0.0607405033,0.3089488110999999,0.3735079912,0.2568026944,Earthquake+Tsunami,126906.0,1973,RC,61516.74291803344,382.9227215732425,1.0,2.0,0.6680951159310573
991b4ed0-66a2-477a-8870-8b55a43fb4be,0.9392594967,0.6303106856,0.2568026944,0.0607405033,0.3089488110999999,0.3735079912,0.2568026944,Earthquake+Tsunami,126906.0,1973,RC,61516.74291803344,382.9227215732425,1.0,2.0,0.6284148207113456
ffa49026-2f63-46c4-a3a3-288f5d0230a7,0.8009207327361768,0.4635307658019741,0.1628686374780049,0.1990792672638232,0.3373899669342027,0.3006621283239692,0.1628686374780049,Earthquake+Tsunami,557254.0,1961,RC,203529.65967788795,278.5808336669033,,,
f465927a-264e-4ebf-9e54-8cc86b465578,0.7322766942,0.3277134945,0.0977460084,0.2677233058,0.4045631997,0.2299674860999999,0.0977460084,Earthquake+Tsunami,240643.0,1964,W1,67018.94011364657,201.2166548787155,1.0,2.0,0.5268488551743349
01008fe9-e56d-4a84-909b-93a5bbe9e523,0.9552146016415608,0.6908319321946861,0.1734933890642902,0.0447853983584392,0.2643826694468747,0.5173385431303958,0.1734933890642902,Earthquake+Tsunami,122300.0,2003,RC,58934.35078243837,370.5876672897139,,,
e3ed9d88-19da-4d6f-a144-1912aca84d74,0.9552146016415608,0.6908319321946861,0.1734933890642902,0.0447853983584392,0.2643826694468747,0.5173385431303958,0.1734933890642902,Earthquake+Tsunami,114300.0,2003,RC,55079.28286535328,370.5876672897139,,,
f6b83e60-56bf-4451-9e12-a9ddb29754c2,0.9552146016415608,0.6908319321946861,0.1734933890642902,0.0447853983584392,0.2643826694468747,0.5173385431303958,0.1734933890642902,Earthquake+Tsunami,106821.0,2003,RC,51475.27624636835,370.5876672897139,,,
16181452-930c-4662-bd0b-ab5a194b42c1,0.9552146016415608,0.6908319321946861,0.1734933890642902,0.0447853983584392,0.2643826694468747,0.5173385431303958,0.1734933890642902,Earthquake+Tsunami,99833.0,2003,RC,48107.87442079452,370.5876672897139,,,
342cee15-4702-447c-83e2-71b8e78b9029,0.9107229235472044,0.4412934672139582,0.0654564987177986,0.0892770764527957,0.469429456333246,0.3758369684961596,0.0654564987177986,Earthquake+Tsunami,252483.0,2203,RC,85548.59589453321,238.6868362220249,,,
599bfe19-7f95-423b-9544-632db7572cc6,0.9565507145901454,0.6982421737671867,0.1764257370648044,0.0434492854098546,0.2583085408229587,0.5218164367023822,0.1764257370648044,Earthquake+Tsunami,235966.0,2003,RC,114688.27134931197,374.3930250904504,,,
7788bdbf-52bc-4523-8649-902878d3746a,0.9565507145901454,0.6982421737671867,0.1764257370648044,0.0434492854098546,0.2583085408229587,0.5218164367023822,0.1764257370648044,Earthquake+Tsunami,220529.0,2003,RC,107185.31395367306,374.3930250904504,,,
6b2de4eb-296f-41df-bfea-e921dfe33a22,0.5889596178343117,0.1580400563126934,0.0465152269162935,0.4110403821656883,0.4309195615216182,0.1115248293963998,0.0465152269162935,Earthquake+Tsunami,60433.0,1994,W2,10397.503351210744,112.97557595139318,1.0,4.0,0.4821584143486203
6e29e75d-edb9-4ee1-a849-86cd73e5156f,0.9565507145901454,0.6982421737671867,0.1764257370648044,0.0434492854098546,0.2583085408229587,0.5218164367023822,0.1764257370648044,Earthquake+Tsunami,206102.0,2003,RC,100173.2542045714,374.3930250904504,,,
ed34343a-44ce-460c-8534-925bdfb3e229,0.9565507145901454,0.6982421737671867,0.1764257370648044,0.0434492854098546,0.2583085408229587,0.5218164367023822,0.1764257370648044,Earthquake+Tsunami,192619.0,2003,RC,93620.0136419362,374.3930250904504,,,
ba5e1e1c-3870-4b6b-acec-5775aba2f3c0,0.9107229235472044,0.4412934672139582,0.0654564987177986,0.0892770764527957,0.469429456333246,0.3758369684961596,0.0654564987177986,Earthquake+Tsunami,252483.0,2203,RC,85548.59589453321,238.6868362220249,,,
4a40de47-b9a2-48ea-844d-e2d7f5941c00,0.9565507145901454,0.6982421737671867,0.1764257370648044,0.0434492854098546,0.2583085408229587,0.5218164367023822,0.1764257370648044,Earthquake+Tsunami,235966.0,2003,RC,114688.27134931197,374.3930250904504,,,
