,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,b,Q_t_hat
9621,802cc1a7-6215-41b4-8040-b28ae22d0f93,W2,1,178872.0,160973.52098868298,815.8049430264376,1.0,0.0,0.7813599667039745,0.0,0,0.1743545507643594
9622,802cc1a7-6215-41b4-8040-b28ae22d0f93,W2,2,178872.0,57531.82747300404,235.76275611438257,0.0,0.0,0.4511903436213834,0.0,0,0.050387423832952034
9623,802cc1a7-6215-41b4-8040-b28ae22d0f93,W2,3,178872.0,160975.52467546094,407.9074377900407,1.0,0.0,0.7813666472873492,0.0,0,0.08717833677923503
9624,802e3fdd-f2d6-4428-84e2-02e189f2cd19,RC,0,1146992.0,875819.076610298,659.6281607648309,1.0,0.0,0.7219061976298451,0.0,1,0.1409763113410624
9625,802e3fdd-f2d6-4428-84e2-02e189f2cd19,RC,1,1146992.0,836976.5758013928,621.4041129709057,1.0,0.0,0.7052355223183371,0.0,0,0.13280703418912282
9626,802e3fdd-f2d6-4428-84e2-02e189f2cd19,RC,2,1146992.0,644689.2670899591,452.333322254278,1.0,0.0,0.6040312129442921,0.0,0,0.0966730759252571
9627,802e3fdd-f2d6-4428-84e2-02e189f2cd19,RC,3,1146992.0,875819.076610298,329.81408038241545,1.0,0.0,0.7219061976298451,0.0,0,0.0704881556705312
9628,80315cac-cc92-4b03-8114-134d8a127dde,W1,0,84442.0,75997.79157759319,815.866780925172,1.0,1.0,0.8512756161758679,0.8512756161758679,1,0.17436776681452704
9629,80315cac-cc92-4b03-8114-134d8a127dde,W1,1,84442.0,75997.78799836103,815.8667369761442,1.0,1.0,0.8512755945870205,0.8512755945870205,0,0.17436775742170213
9630,80315cac-cc92-4b03-8114-134d8a127dde,W1,2,84442.0,52016.003830320806,516.0862969155197,1.0,1.0,0.7126455338726517,0.7126455338726517,0,0.11029841780626623
9631,80315cac-cc92-4b03-8114-134d8a127dde,W1,3,84442.0,75997.79157759319,407.933390462586,1.0,1.0,0.8512756161758679,0.8512756161758679,0,0.08718388340726352
