,Z,S,K,rmv,l,repair,dislocated,numprec,prdis,d_ijk,truedislocationcount,b,Q_t_hat
9610,7ffc0d5f-f0ca-4d7b-bf01-f579a0d843a9,RC,2,193986.0,37064.95963792222,125.9528850884493,0.0,2.0,0.5431151479528838,1.0862302959057677,0.0,0,0.026918761506400792
9611,7ffc0d5f-f0ca-4d7b-bf01-f579a0d843a9,RC,3,193986.0,37064.95963792222,62.97644254422465,0.0,2.0,0.5431151479528838,1.0862302959057677,0.0,0,0.013459380753200396
9612,8014f932-df2a-4f74-a769-bc364b742047,W1,0,72669.0,12989.36336159188,116.84061420546443,0.0,6.0,0.4902835953761277,2.941701572256766,0.0,1,0.02497127894966113
9613,8014f932-df2a-4f74-a769-bc364b742047,W1,1,72669.0,9260.417040765544,74.90338389763693,0.0,6.0,0.463686310746816,2.782117864480896,0.0,0,0.01600841716128167
9614,8014f932-df2a-4f74-a769-bc364b742047,W1,2,72669.0,12950.013071649018,116.315801187767,0.0,6.0,0.4900296818836719,2.9401780913020312,0.0,0,0.024859115449405212
9615,8014f932-df2a-4f74-a769-bc364b742047,W1,3,72669.0,12989.36336159188,58.420307102732224,0.0,6.0,0.4902835953761277,2.941701572256766,0.0,0,0.012485639474830567
9616,801f2545-59bb-4ce3-a658-dcd63e0d6446,RC,0,143675.0,60156.49976110176,321.804322510234,1.0,0.0,0.4761133226194488,0.0,0.0,1,0.06877630316525625
9617,801f2545-59bb-4ce3-a658-dcd63e0d6446,RC,1,143675.0,30864.671464730123,135.4890819765278,0.0,0.0,0.3642755655615327,0.0,0.0,0,0.02895684590222864
9618,801f2545-59bb-4ce3-a658-dcd63e0d6446,RC,2,143675.0,60156.39203643702,321.80370599179173,1.0,0.0,0.4761129301177305,0.0,0.0,0,0.06877617140239191
9619,801f2545-59bb-4ce3-a658-dcd63e0d6446,RC,3,143675.0,60156.49976110176,160.902161255117,1.0,0.0,0.4761133226194488,0.0,0.0,0,0.034388151582628125
9620,802cc1a7-6215-41b4-8040-b28ae22d0f93,W2,0,178872.0,30339.435368534992,111.46961736877417,0.0,0.0,0.3610878262576246,0.0,0.0,1,0.023823384776399694
9621,802cc1a7-6215-41b4-8040-b28ae22d0f93,W2,1,178872.0,17577.908202230552,57.95550228055059,0.0,0.0,0.3208388443028105,0.0,0.0,0,0.012386300978959305
9622,802cc1a7-6215-41b4-8040-b28ae22d0f93,W2,2,178872.0,28322.637557174967,100.59570022574673,0.0,0.0,0.3545994436279198,0.0,0.0,0,0.021499401629781305
9623,802cc1a7-6215-41b4-8040-b28ae22d0f93,W2,3,178872.0,30339.435368534992,55.73480868438708,0.0,0.0,0.3610878262576246,0.0,0.0,0,0.011911692388199847
9624,802e3fdd-f2d6-4428-84e2-02e189f2cd19,RC,0,1146992.0,333475.60386592464,203.4398019047724,1.0,0.0,0.4304439481873965,0.0,0.0,1,0.04347933359794238
9625,802e3fdd-f2d6-4428-84e2-02e189f2cd19,RC,1,1146992.0,248329.6893356401,136.82766316099864,1.0,0.0,0.3821024996466797,0.0,0.0,0,0.029242928651634675
9626,802e3fdd-f2d6-4428-84e2-02e189f2cd19,RC,2,1146992.0,333177.02622566704,203.22725187203463,1.0,0.0,0.4302570333628841,0.0,0.0,0,0.043433907217788975
9627,802e3fdd-f2d6-4428-84e2-02e189f2cd19,RC,3,1146992.0,333475.60386592464,101.7199009523862,1.0,0.0,0.4304439481873965,0.0,0.0,0,0.02173966679897119
9628,80315cac-cc92-4b03-8114-134d8a127dde,W1,0,84442.0,51226.74209857901,530.0408634125703,1.0,1.0,0.6998584164098085,0.6998584164098085,1.0,1,0.1132808000454307
9629,80315cac-cc92-4b03-8114-134d8a127dde,W1,1,84442.0,47392.31433563009,493.0637661827229,1.0,1.0,0.6743537247929908,0.6743537247929908,1.0,0,0.10537802226602327
9630,80315cac-cc92-4b03-8114-134d8a127dde,W1,2,84442.0,18116.826890407057,147.99519476526467,0.0,1.0,0.497468503258596,0.497468503258596,0.0,0,0.03162966333944532
9631,80315cac-cc92-4b03-8114-134d8a127dde,W1,3,84442.0,51226.74209857901,265.02043170628514,1.0,1.0,0.6998584164098085,0.6998584164098085,1.0,0,0.05664040002271535
9632,80449d79-bf5a-48a5-8dc7-b6790f529940,W2,0,186263.0,23732.334108474523,78.06573653221399,1.0,0.0,0.3360953270400591,0.0,0.0,1,0.01668427795088993
9633,80449d79-bf5a-48a5-8dc7-b6790f529940,W2,1,186263.0,16795.17649959193,50.29656858112207,1.0,0.0,0.3136438100773685,0.0,0.0,0,0.010749426924796338
9634,80449d79-bf5a-48a5-8dc7-b6790f529940,W2,2,186263.0,22972.729595998604,74.17122590266027,1.0,0.0,0.33370407018523,0.0,0.0,0,0.01585193970990816
9635,80449d79-bf5a-48a5-8dc7-b6790f529940,W2,3,186263.0,23732.334108474523,39.032868266107,1.0,0.0,0.3360953270400591,0.0,0.0,0,0.008342138975444967
9636,80552e8f-6462-4e92-8baf-d05b0d3520a1,W1,0,8908.0,2134.7687636972883,168.56400775031645,0.0,2.0,0.4802170723442316,0.9604341446884632,0.0,1,0.03602564816206806
9637,80552e8f-6462-4e92-8baf-d05b0d3520a1,W1,1,8908.0,1130.004867383694,74.34708536176484,0.0,2.0,0.407221925131273,0.814443850262546,0.0,0,0.01588952454835752
9638,80552e8f-6462-4e92-8baf-d05b0d3520a1,W1,2,8908.0,2134.7687636972883,168.56400775031645,0.0,2.0,0.4802170723442316,0.9604341446884632,0.0,0,0.03602564816206806
9639,80552e8f-6462-4e92-8baf-d05b0d3520a1,W1,3,8908.0,2134.7687636972883,84.28200387515822,0.0,2.0,0.4802170723442316,0.9604341446884632,0.0,0,0.01801282408103403
9640,80591a2e-b9a9-4d22-9c21-1ff393a96dde,W1,0,93521.0,40902.68548726404,365.0963930851014,0.0,1.0,0.5235914855899193,0.5235914855899193,0.0,1,0.07802872260848502
9641,80591a2e-b9a9-4d22-9c21-1ff393a96dde,W1,1,93521.0,34205.30603800678,306.7805539969338,0.0,1.0,0.4781538706684071,0.4781538706684071,0.0,0,0.06556541012971442
9642,80591a2e-b9a9-4d22-9c21-1ff393a96dde,W1,2,93521.0,20064.70438428458,147.99519476526467,0.0,1.0,0.3953349066066853,0.3953349066066853,0.0,0,0.03162966333944532
9643,80591a2e-b9a9-4d22-9c21-1ff393a96dde,W1,3,93521.0,40902.68548726404,182.5481965425507,0.0,1.0,0.5235914855899193,0.5235914855899193,0.0,0,0.03901436130424251
9644,805cddb6-6e1d-490b-b6cb-9100767ac46d,RC,0,172824.0,74717.3299695003,333.1862569579581,0.0,0.0,0.0,0.0,0.0,1,0.0712088602175589
9645,805cddb6-6e1d-490b-b6cb-9100767ac46d,RC,1,172824.0,40926.74614869764,153.46399050502222,0.0,0.0,0.0,0.0,0.0,0,0.032798459180385174
9646,805cddb6-6e1d-490b-b6cb-9100767ac46d,RC,2,172824.0,72361.01129149256,321.80370599179173,0.0,0.0,0.0,0.0,0.0,0,0.06877617140239191
9647,805cddb6-6e1d-490b-b6cb-9100767ac46d,RC,3,172824.0,74717.3299695003,166.59312847897905,0.0,0.0,0.0,0.0,0.0,0,0.03560443010877945
9652,807f2e0f-0715-4eaa-9d9e-96bae140af32,RC,0,268366.0,78296.63219926391,204.2686324802333,0.0,0.0,0.0,0.0,0.0,1,0.04365647199834009
9653,807f2e0f-0715-4eaa-9d9e-96bae140af32,RC,1,268366.0,58421.052435759455,137.79221438566304,0.0,0.0,0.0,0.0,0.0,0,0.029449073388686266
9654,807f2e0f-0715-4eaa-9d9e-96bae140af32,RC,2,268366.0,77954.67258714739,203.22725187203463,0.0,0.0,0.0,0.0,0.0,0,0.043433907217788975
9655,807f2e0f-0715-4eaa-9d9e-96bae140af32,RC,3,268366.0,78296.63219926391,102.13431624011668,0.0,0.0,0.0,0.0,0.0,0,0.021828235999170054
9656,807fc18b-8bb9-4079-9da4-75246b576f41,W2,0,193194.0,24234.989949177365,75.8552254333074,1.0,2.0,0.4212795374912329,0.8425590749824658,2.0,1,0.016211845572410215
9657,807fc18b-8bb9-4079-9da4-75246b576f41,W2,1,193194.0,17460.215544265866,49.12703715506134,1.0,2.0,0.4049967954121643,0.8099935908243286,2.0,0,0.0104994736386111
9658,807fc18b-8bb9-4079-9da4-75246b576f41,W2,2,193194.0,24234.989949177365,75.8552254333074,1.0,2.0,0.4212795374912329,0.8425590749824658,2.0,0,0.016211845572410215
