Economic_loss,Dislocation,Functionality,S
171987169.4,2166.798685,126.8823226,243
173810586.4,2164.396959,126.8823226,244
175634003.3,2162.38949,126.8823226,245
177457420.2,2160.597677,126.8823226,246
179280837.1,2159.227208,128.2432992,247
181104254.1,2158.185945,131.5834234,248
182927671,2157.301956,134.3875462,249
184751087.9,2156.505651,137.5631898,250
186574504.8,2155.772315,140.3276172,251
188397921.8,2155.188044,141.7783985,252
190221338.7,2154.705366,143.1755365,253
192044755.6,2154.287778,144.9353652,254
159223251,2248.49963,129.2195594,255
161046667.9,2215.608055,129.2195594,256
162870084.8,2198.501783,129.2195594,257
164693501.7,2188.84816,129.2195594,258
166516918.7,2181.771185,129.2195594,259
168340335.6,2176.114865,129.2195594,260
170163752.5,2171.434352,129.2195594,261
171987169.4,2167.561686,129.2195594,262
173810586.4,2164.705088,129.2195594,263
175634003.3,2162.583686,129.2195594,264
177457420.2,2160.769149,129.2195594,265
179280837.1,2159.237924,129.2195594,266
181104254.1,2158.185945,131.5834234,267
182927671,2157.301956,134.3875462,268
184751087.9,2156.505651,137.5631898,269
186574504.8,2155.772315,140.3276172,270
188397921.8,2155.188044,141.7783985,271
190221338.7,2154.705366,143.1755365,272
192044755.6,2154.287778,144.9353652,273
159223251,2265.043352,131.5567962,274
161046667.9,2224.433814,131.5567962,275
162870084.8,2204.003975,131.5567962,276
164693501.7,2191.748676,131.5567962,277
166516918.7,2183.825019,131.5567962,278
168340335.6,2177.749062,131.5567962,279
170163752.5,2172.871436,131.5567962,280
171987169.4,2168.759939,131.5567962,281
173810586.4,2165.40551,131.5567962,282
175634003.3,2162.956945,131.5567962,283
177457420.2,2161.0562,131.5567962,284
179280837.1,2159.377646,131.5567962,285
181104254.1,2158.185945,131.5834234,286
182927671,2157.301956,134.3875462,287
184751087.9,2156.505651,137.5631898,288
186574504.8,2155.772315,140.3276172,289
188397921.8,2155.188044,141.7783985,290
190221338.7,2154.705366,143.1755365,291
192044755.6,2154.287778,144.9353652,292
159223251,2288.811803,133.894033,293
161046667.9,2235.260896,133.894033,294
162870084.8,2211.695052,133.894033,295
164693501.7,2196.276934,133.894033,296
166516918.7,2186.466479,133.894033,297
168340335.6,2179.803059,133.894033,298
170163752.5,2174.535738,133.894033,299
171987169.4,2170.223149,133.894033,300
173810586.4,2166.598225,133.894033,301
175634003.3,2163.612322,133.894033,302
177457420.2,2161.459359,133.894033,303
179280837.1,2159.707424,133.894033,304
181104254.1,2158.241618,133.894033,305
182927671,2157.301956,134.3875462,306
184751087.9,2156.505651,137.5631898,307
186574504.8,2155.772315,140.3276172,308
188397921.8,2155.188044,141.7783985,309
190221338.7,2154.705366,143.1755365,310
192044755.6,2154.287778,144.9353652,311
159223251,2335.40043,136.2312698,312
161046667.9,2248.482714,136.2312698,313
162870084.8,2220.888251,136.2312698,314
164693501.7,2203.037096,136.2312698,315
166516918.7,2190.544394,136.2312698,316
168340335.6,2182.516917,136.2312698,317
170163752.5,2176.610936,136.2312698,318
171987169.4,2171.886679,136.2312698,319
173810586.4,2168.062923,136.2312698,320
175634003.3,2164.817491,136.2312698,321
177457420.2,2162.156276,136.2312698,322
179280837.1,2160.180874,136.2312698,323
181104254.1,2158.570168,136.2312698,324
182927671,2157.331214,136.2312698,325
184751087.9,2156.505651,137.5631898,326
186574504.8,2155.772315,140.3276172,327
188397921.8,2155.188044,141.7783985,328
190221338.7,2154.705366,143.1755365,329
192044755.6,2154.287778,144.9353652,330
161046667.9,2264.965949,138.5685066,331
162870084.8,2231.55052,138.5685066,332
164693501.7,2211.309991,138.5685066,333
166516918.7,2196.736949,138.5685066,334
168340335.6,2186.501777,138.5685066,335
170163752.5,2179.399665,138.5685066,336
171987169.4,2174.033113,138.5685066,337
173810586.4,2169.779823,138.5685066,338
175634003.3,2166.361029,138.5685066,339
177457420.2,2163.404672,138.5685066,340
179280837.1,2160.982782,138.5685066,341
181104254.1,2159.101465,138.5685066,342
182927671,2157.606174,138.5685066,343
184751087.9,2156.505925,138.5685066,344
186574504.8,2155.772315,140.3276172,345
188397921.8,2155.188044,141.7783985,346
190221338.7,2154.705366,143.1755365,347
192044755.6,2154.287778,144.9353652,348
161046667.9,2285.849877,140.9057433,349
162870084.8,2244.147673,140.9057433,350
164693501.7,2220.902523,140.9057433,351
166516918.7,2204.538083,140.9057433,352
168340335.6,2192.563311,140.9057433,353
170163752.5,2183.608451,140.9057433,354
171987169.4,2176.99724,140.9057433,355
173810586.4,2172.019204,140.9057433,356
175634003.3,2168.151473,140.9057433,357
177457420.2,2165.003349,140.9057433,358
179280837.1,2162.32344,140.9057433,359
181104254.1,2160.035936,140.9057433,360
182927671,2158.227942,140.9057433,361
184751087.9,2156.797354,140.9057433,362
186574504.8,2155.787528,140.9057433,363
188397921.8,2155.190063,141.7962044,364
190221338.7,2154.705366,143.1755365,365
192044755.6,2154.288858,144.9046354,366
161046667.9,2315.256665,143.2429801,367
162870084.8,2259.200689,143.2429801,368
164693501.7,2231.931869,143.2429801,369
166516918.7,2213.537506,143.2429801,370
168340335.6,2200.117318,143.2429801,371
170163752.5,2189.669197,143.2429801,372
171987169.4,2181.457655,143.2429801,373
173810586.4,2175.196962,143.2429801,374
175634003.3,2170.606915,143.2429801,375
177457420.2,2167.029101,143.2429801,376
179280837.1,2164.113158,143.2429801,377
181104254.1,2161.659749,143.2429801,378
182927671,2159.547294,143.2429801,379
184751087.9,2157.773747,143.2429801,380
186574504.8,2156.279049,143.2429801,381
188397921.8,2155.211126,143.2429801,382
190221338.7,2154.703824,143.8715492,383
192044755.6,2154.29147,144.8677914,384
